locale,name,created_at,updated_at,checksum,id,native_name
uk-UA,Ukrainian,1666085871,1666085871,598ca48d-ed49-704d-6501-ac1ea2358075,28,українська
de-DE,German,1666085793,1666085793,32a45eaa-c632-69d8-2318-c85812d0aae8,27,Deutsch
vi-VN,Vietnamese,1664803640,1664803640,b576a1df-38ab-7aa5-60b4-090c09be22e0,26,Tiếng Việt
th-TH,Thai,1664803640,1664803640,ec633fe7-383e-7831-7335-136cd446f771,25,ไทย
tr-TR,Turkish,1664803640,1664803640,3fa287a0-7ee0-f965-2282-93931077359c,24,Türkçe
sv-SE,Swedish,1664803639,1664803639,37988d2f-f5e5-663c-8cc5-5c27f463effe,23,Svenska
ru-RU,Russian,1664803639,1664803639,a9cb4d56-9180-df0b-cd5f-ad8c9b820b64,22,Русский
pt-BR,Portuguese (Brazil),1664803639,1664803639,c62e5a15-99dc-0cd8-de04-fe6021ca78f8,21,Português (Brasil)
pt-PT,Portuguese (Portugal),1664803639,1664803639,0ba51fb0-09a1-8603-583d-0c0f635854c4,20,Português (Portugal)
pl-PL,Polish,1664803639,1664803639,19ec0e97-56cc-dc50-54fa-e2dd3989ba11,19,Polski
nb-NO,Norwegian,1664803639,1664803639,68196f0b-fdc4-c8cc-ded7-439904183360,18,Norsk
ko-KR,Korean,1664803639,1664803639,9ba648bf-f5fa-fa3c-3c6a-2fc7e1510cd6,17,한국어
ja-JP,Japanese,1664803639,1664803639,6e46a214-1fc9-e097-bf2b-b5d3f1187a48,16,日本語
it-IT,Italian,1664803639,1664803639,52074797-ab02-c337-a805-a3e9969fc0eb,15,Italiano
hu-HU,Hungarian,1664803639,1664803639,362d33d4-4896-3e8d-b703-cc030c2c7f73,14,Magyar
he-IL,Hebrew,1664803639,1664803639,4102be99-eedf-5c3f-863c-d118637f7bf1,13,עברית
fr-FR,French,1664803639,1664803639,6a477f36-9248-eae8-6626-5932d6384dbe,12,Français
fi-FI,Finnish,1664803639,1664803639,863a2d01-e473-e98b-159c-4049d2216012,11,Suomi
es-MX,Spanish (Mexico),1664803639,1664803639,a94bcdc1-6434-c7b2-d9ce-14976388609c,10,Español (Mexico)
es-ES,Spanish (Spain),1664803639,1664803639,62657819-b6f2-2beb-786e-78455af2de8f,9,Español (España)
en-GB,English (UK),1664803639,1664803639,9239bea3-9b7a-e4d2-016e-43440fbf8866,8,English (UK)
en-US,English,1664803639,1664803639,e2f64b8d-425f-28a3-3552-217aa1a955eb,7,English (US)
nl-NL,Dutch,1664803639,1664803639,a22e453a-e539-b794-5d44-368fbe6e3770,6,Nederlands
da-DK,Danish,1664803639,1664803639,613fc1f9-9c07-474a-1ad5-7a26b44cc7ea,5,Dansk
cs-CZ,Czech,1664803639,1664803639,58621751-aa00-f068-dbaf-2369d2e5a015,4,čeština
zh-TW,Chinese (Traditional),1664803639,1664803639,e7a793e9-d117-bc98-a000-67e444c0893d,3,繁體中文
zh-CN,Chinese (Simplified),1664803639,1664803639,ddcc7457-8939-17a3-9826-ef92d0d72371,2,简体中文
ar,Arabic,1664803639,1664803639,e0963ddc-1e01-32e2-a959-d5ccda50410c,1,العربية
